EUR,GBP,AUD,NZD,USD,CAD,CHF,NOK,SEK,JPY
2002-07-01,-0.00892586679315864,-0.000300398354766979,-0.000426970362056484,0.00689513995067173,0,0.00400066781208955,0.0256768729309753,0.0124870701395575,-0.000113984856549495,-0.00399666977463306
2002-07-02,0.0105445363987864,-0.0139411842336818,0.0384924559777766,0.0020268203877724,0,0.00353033925474063,-0.0027024310177487,0.0137622881365733,0.00896634226580556,-0.00925193481775455
2002-07-03,-0.0132258459828849,0.00146875628185161,0.0354744381945211,0.0420990268178271,0,-0.0014099217431055,0.0108961995621131,-0.0246295135325479,-0.00257386319147703,-0.0058350393575515
2002-07-04,-0.0183625875322579,0.0124671980603441,-5.39228915734969e-05,0,0,-0.00408511525965931,-0.0366350518566772,-0.00562696183858646,-0.018920080630369,0.00768750833638353
2002-07-05,0.038779733690039,0.00995456285867914,0.126932390514593,-0.0737196057042181,0,-0.00478255291859701,0.063560570174906,0.00876330250389112,0.0265526248626615,-0.089122509104952
2002-07-08,-0.0512407724840742,-0.0407353053667295,0.0248920132293016,0.0280573856809937,0,0.0100754082489078,-0.00546287022532364,0.00817172557143888,6.7745213531088e-05,-0.0419311207429499
2002-07-09,0.0267623271124508,0.00119024517126964,-0.0257133059092922,-0.0105371232725831,0,0.00376687784137579,-0.0357767977430965,-0.00291007386525466,0.0679595968317401,-0.00491859005289629
2002-07-10,-0.00788516576874744,0.0030636362739508,0.146817283784507,-0.0484377463681212,0,0.000788799094340677,-0.0451983407698727,0.00848126646272156,0.00942096484752762,-0.0138131944768444
2002-07-11,0.00692929408405768,-0.00314403007508592,-0.0205219985556056,-0.000784475651111149,0,-0.00635338636238549,0.0122977413546869,-0.0308906203934486,-0.0190190053029302,-0.00389671568494581
2002-07-12,-0.0606307391047355,-0.0850785402747262,-0.000856531131072016,0.0154623357944431,0,-0.0027359828530169,0.0923513309928062,0.0357286898461085,-0.0185431172777521,-0.0194330624091602
2002-07-15,0.00292028817327647,0.000254679774641222,0.0785251394194573,-0.0044545318217285,0,0.00491803414665575,0.00115297510379395,0.00147271389354755,0.0283751604833396,0.00158634366603632
2002-07-16,0.023800110540632,-0.00703709640576065,-0.0528523161938613,-0.0112594548534577,0,-0.00195179119831457,-0.000529738777933004,0.00941612438117159,0.00314350533189918,0.00943599597106644
2002-07-17,0.0128389560244352,0.00298260279963308,0.00976537860756266,0.00422797951675713,0,0.00856559748971546,0.0285134013837621,-0.0279464387306746,-0.0130596760426423,0.00970361847400511
2002-07-18,-0.00676761870987015,-0.0263463507506888,-0.00631714040126128,0.0158319164343275,0,-0.00413560710523072,-0.0294384229377305,0.0313228046376007,-0.000830629494553435,0.0492700851568036
2002-07-19,-0.00163084167367815,0.000152028632516526,0.101803529467012,0.00866884143980519,0,0.0103120788469372,-0.000631966387975886,-0.0590142904539843,0.016546445865419,-0.0334066471950898
2002-07-22,0.0802975602813152,-0.0115791578605809,0.0964641047564673,-0.0240085687310238,0,-0.011453450577821,0.0776109034465394,-0.128867570819386,-0.0052928914088728,-0.0396489391448235
2002-07-23,-0.0101367769603589,-0.0190261518786967,-0.0506055017184805,-0.111275426586714,0,-0.00896969973217726,0.031973314662761,-0.000234629583129994,0.00201780001329586,0.0235738602531735
2002-07-24,-0.00540839214867292,-0.00350198317488161,-0.0239955785883675,0.00794517763097004,0,0.00587188960683087,-0.0134602178460385,-0.00721370177862644,-0.0331239102011103,-0.0387993938961046
2002-07-25,-0.0198213120960458,0.0394604899481847,-0.0644075759506029,-0.0805689491771505,0,0.0255378760797565,-0.0633146241380619,-0.0228900556502486,-0.00381607347626735,0.164564130232512
2002-07-26,-0.052345360697952,-0.00198476475484972,-0.0495495621178057,0.00425447611573194,0,-0.0250136297795144,0.0966962396517673,-0.0364252179476639,0.00197182168671593,-0.0640311855187308
2002-07-29,0.0387623697482958,0.0206038540443243,0.0103131669157228,-0.0117321569573448,0,0.000769793586781103,0.0451301295317707,-0.0410865569610903,0.0462755104753609,0.00887110322499555
2002-07-30,-0.0312641040146896,0.0420932592499999,-0.00382002562380129,-0.0776786620239856,0,0.0192746011824593,0.0116685928468782,-0.0150522876780093,-0.0403342353132285,-0.0145169440044155
2002-07-31,-0.0110047024159792,0.0127383040963698,-0.0219431913059226,-0.0279390368053718,0,-0.0091290086772603,-0.0492559867187034,-0.00271304652811382,-0.00587923879689882,-0.0124283529754514
2002-08-01,-0.0120655712125699,-0.0130658069288668,0.00311457188911466,8.61976083499652e-05,0,-0.00147216121426126,-0.0095885301683639,0.00102052179452267,0.000459031450315357,0.0116304461148587
2002-08-02,0.0247755579326476,0.00367230346929594,0.0524163566004308,-0.00820058323719834,0,-0.00126260433237607,0.0290201662683258,-0.0140055193569487,-0.005088251958096,-0.0174390881069291
2002-08-05,0.0888785091880682,0.0443591006508717,-0.0116644743584272,-0.0775692191703048,0,-0.00405180842633301,-0.0405850295735157,-0.115227138901382,0.0350504969014812,0.0540585631790684
2002-08-06,0.0512910538047016,0.00157500840445296,-0.106708260429854,-0.0340002283719541,0,-0.0387147656418753,0.0988679854156812,0.0479986837808386,0.069811704421874,-0.0185569238454294
2002-08-07,0.0393982124589216,0.00487138037575535,0.00631776944367464,-0.00408477010493002,0,-0.00550946907526174,0.0300621330342042,-0.00164395058326445,0.00292535475364435,0.0107776655065993
2002-08-08,0.0227683821295848,-0.00455975391397668,-0.0164937098365594,-0.0346723626451126,0,-0.0129962713375244,0.0479039269161782,0.0429567568113602,0.0241691318057639,-0.0353454662476539
2002-08-09,-0.00801645836900091,-0.0038032365348105,0.0518362647733845,0.0542029168684773,0,0.0101039081306269,0.0125767184540249,0.0234064664456216,-0.00838690590883863,-0.0995742929669222
2002-08-12,-0.00428921860888169,-0.000261096607227368,-0.00889877896699315,-0.0179046752465586,0,0.0320478282004402,-0.0172573391928626,0.0143061268060897,-0.013000821264687,0.00237084367980813
2002-08-13,-0.0232804621657709,-0.0314757146387144,-0.00612984331406058,0.0139394046062237,0,-0.00148257063870912,0.00557032854643365,0.00847090100507938,-0.00172803574900932,0.0593423143468236
2002-08-14,0.0010565349227013,-0.0173921709809772,-0.0899174916874999,-0.00400647692237199,0,0.0204157557558182,0.013051391054341,0.00607102776538626,-0.00143704950616065,0.0180387818278288
2002-08-15,0.00310928233831903,-0.000468170892929156,0.0299991261033378,-0.00278701005782171,0,0.00255597198479083,-0.017646668019827,-0.00664389900162003,0.0125775581761977,0.0198167558466884
2002-08-16,-0.0218249259264382,0.0133055539009878,0.00559237008741793,-0.00342906260698739,0,0.00911589559736003,-0.0674965924302157,-0.00385980698276295,-0.0101078119866555,0.0708490300571756
2002-08-19,-0.000368004089254727,0.000431937173391662,0.0422641708906614,-0.0053493226950001,0,-0.00321060148353223,-0.00423886986071615,0.0116645828999829,0.000419502635608248,0.0417204944240898
2002-08-20,-0.00257523898366044,0.00274707345079553,0.0130853272484008,0.00931181412804564,0,-0.00342368470453009,-0.000133248942385728,-0.0156899541281431,-0.0276442937351935,0.00944119458632362
2002-08-21,-0.0321510300883568,0.00582545953254889,-0.0318703667607178,0.00752688740613875,0,-0.00151563805341846,-0.0891519418886515,-0.0699772600003041,-0.072886601955271,0.0851821084933208
2002-08-22,0.0036062065767289,-0.00759943536371723,0.0357764066347309,-0.00122514947273424,0,0.000173415973597587,0.0206805899175216,0.0105460245035996,0.0205671902908324,-0.0156171810291931
2002-08-23,-0.00277620693997222,-0.00544003257160094,0,0.0145703934040524,0,-0.000102758421409156,-0.00277603360205387,0.027474182173619,-0.00793974363112264,0
2002-08-26,0.0606140681275577,0.0163351322666875,-0.137024524163107,-0.005110777035769,0,-0.00370489777797758,-0.0834282695929675,0.0359666808024535,0.0282295190629803,0.0138867355137173
2002-08-27,-0.0044211313673673,-0.00417264369984422,0.0151479805527886,-0.0506116105681333,0,-0.0265552480505206,0.0189795524329379,0.00249852351752103,-0.0143950727319969,0.0390098341763334
2002-08-28,-0.0176021343592728,-0.0230738093206711,0,-0.00986863368742878,0,0.00414328371191616,-0.0254215426856813,0.0148329435982437,-0.000412999298617963,0.0118178450881245
2002-08-29,0.00998065652398304,-1.29236535213537e-05,-0.00551924570519696,0.00367521389894705,0,-0.00148167175476121,0.00694352413275836,-0.0143281645558443,0.0221881508359146,0.0115204560274147
2002-08-30,-0.00492521429318129,0.00542425491899823,-0.0188679377767492,-0.00313266372593434,0,-0.00166276123878233,-0.0117222907305437,0.00210218979101939,0,0.0173296474654214
2002-09-02,-0.0896371565754994,-0.0323930043336433,-0.0557558629712588,-0.0304214442101311,0,-0.00497701503469073,-0.0657107458650495,0.0181947204621829,0.00222678087911429,0.0350693939555896
2002-09-03,0.0160181408489647,0.000198241471798025,0.0555730673642039,-0.0207229783062434,0,0.0176935572859785,0.00737702220878048,0.00503281177886247,0.00199067773977444,-0.0351265887009566
2002-09-04,0.00016137165964955,-0.0010730025142433,0.0174905821365729,-0.00309311663295118,0,0.000701843959240226,-0.0102981624368741,0.0267245463294976,0.0037558189139035,-0.0181402630277543
2002-09-05,0.0385501629600319,0.00472472275860475,0.0236548697986421,0.0568500666941652,0,0.0137984009991538,0.0336176892109343,-0.0255066937952378,0.00669242135387339,0.000760520579309431
2002-09-06,-0.00582366456945654,-7.70341841572028e-05,-0.00745750394613263,0.00212947201972337,0,-0.0024168028949644,-0.0127467516430061,-0.0111065242116001,-0.0101850269179503,0.0205469980492193
2002-09-09,-0.0108894213929508,0.0138613953823414,-0.00603125327542014,-0.0111276928408463,0,0.0180671465141917,-0.00971434296611778,-0.037647732145192,-0.00461161671083705,0.0427372816738395
2002-09-10,0.00123260235876624,0.00504559201932491,0.0170943373148995,-0.00212856856165934,0,0.00835264495511284,-0.0218036823291202,-0.000568975073608669,0.01123448022245,0.0379147422694478
2002-09-11,0.0232844623167796,0.00173633925220631,-0.0591572917926668,0.0140244052909564,0,-0.000759062205350278,0.0194760100264803,0.0328998394255937,0.00190287825917536,-0.00232616205248284
2002-09-12,0.0663597427811913,0.0130187699777172,-0.0281751768167032,-0.0128889438437275,0,-7.57551847218225e-05,0.0623503015177746,-0.00876847265337772,0.0105440299460186,-0.0400023319730616
2002-09-13,-0.00181153845711733,0.0129249350831711,0.0163710879192237,-0.00743567327462303,0,-0.00262858676691959,-0.00537285934141558,-0.00175363135636856,-0.0321578970649763,-0.0239030992873357
2002-09-16,0.010965682619689,-0.0188250790373732,0.0232600751974363,-0.00678507169030857,0,-0.00481012722455358,0.0010492636162265,-0.0118095152544672,0.0140807914015469,-0.0101429173021603
2002-09-17,-0.0267284554665367,-0.0516235139261095,0.00602629716973735,0.0158297910559323,0,0.00600151966062753,0.0296187781058957,0.0526606372139008,0.0494539766863697,-0.0136502167231575
